import time: self [us] | cumulative | imported package
import time:       721 |       4696 |             sqlalchemy.util._collections
import time:       100 |        100 |                     _heapq
import time:       161 |        260 |                   heapq
import time:       188 |        188 |                   asyncio.constants
import time:        99 |         99 |                   asyncio.coroutines
import time:        95 |         95 |                     asyncio.format_helpers
import time:        98 |         98 |                       asyncio.base_futures
import time:       156 |        156 |                       asyncio.exceptions
import time:       104 |        104 |                       asyncio.base_tasks
import time:       225 |        581 |                     _asyncio
import time:       409 |       1084 |                   asyncio.events
import time:       190 |        190 |                   asyncio.futures
import time:       152 |        152 |                   asyncio.protocols
import time:       197 |        197 |                     asyncio.transports
import time:        83 |         83 |                     asyncio.log
import time:       510 |        789 |                   asyncio.sslproto
import time:        86 |         86 |                       asyncio.mixins
import time:       377 |        462 |                     asyncio.locks
import time:       202 |        202 |                       asyncio.queues
import time:       252 |        252 |                       asyncio.timeouts
import time:       388 |        842 |                     asyncio.tasks
import time:       168 |       1470 |                   asyncio.staggered
import time:       119 |        119 |                   asyncio.trsock
import time:       767 |       5113 |                 asyncio.base_events
import time:      1110 |       1110 |                 asyncio.graph
import time:       272 |        272 |                 asyncio.runners
import time:       322 |        322 |                 asyncio.streams
import time:       199 |        199 |                 asyncio.subprocess
import time:       143 |        143 |                 asyncio.taskgroups
import time:        84 |         84 |                 asyncio.threads
import time:       195 |        195 |                   asyncio.base_subprocess
import time:       428 |        428 |                   asyncio.selector_events
import time:       444 |       1066 |                 asyncio.unix_events
import time:       241 |       8545 |               asyncio
import time:       761 |        761 |                 greenlet._greenlet
import time:       144 |        905 |               greenlet
import time:      1365 |       1365 |                 sqlalchemy.util.langhelpers
import time:       290 |       1655 |               sqlalchemy.util._concurrency_py3k
import time:       172 |      11275 |             sqlalchemy.util.concurrency
import time:       232 |        232 |             sqlalchemy.util.deprecations
import time:       294 |      16665 |           sqlalchemy.util
import time:       363 |        363 |                             sqlalchemy.event.registry
import time:       189 |        552 |                           sqlalchemy.event.legacy
import time:       650 |       1202 |                         sqlalchemy.event.attr
import time:       436 |       1637 |                       sqlalchemy.event.base
